Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port
1734258640.118676,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,74,192.168.1.157,128.199.164.18,6.0,1044.0,80.0
1734258640.118883,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1044.0,80.0
1734258640.120166,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,64,192.168.1.157,128.199.164.18,6.0,1044.0,80.0
1734258640.120361,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1044.0,80.0
1734258640.120651,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,61,192.168.1.157,128.199.164.18,6.0,1044.0,80.0
1734258640.120853,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1044.0,80.0
1734258640.122140,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,64,192.168.1.157,128.199.164.18,6.0,1044.0,80.0
1734258640.122385,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1044.0,80.0
1734258640.122640,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1044.0,80.0
1734258640.122855,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1044.0,80.0
1734258640.123066,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1044.0,80.0
1734258645.001069,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734258651.584047,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1041.0,1883.0
1734258653.527956,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1044.0,80.0
1734258654.544236,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1044.0,80.0
1734258657.020430,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,60,,,,,
1734258657.020663,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,80,192.168.1.157,192.168.1.1,17.0,1028.0,53.0
1734258658.088325,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,60,,,,,
1734258658.088575,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,80,192.168.1.157,192.168.1.1,17.0,1024.0,53.0
1734258659.165322,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,60,,,,,
1734258659.165573,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,80,192.168.1.157,192.168.1.1,17.0,1029.0,53.0
1734258717.034741,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,60,,,,,
1734258717.034977,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,80,192.168.1.157,192.168.1.1,17.0,1026.0,53.0
1734258718.102694,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,60,,,,,
1734258718.102945,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,80,192.168.1.157,192.168.1.1,17.0,1038.0,53.0
1734258719.170699,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,60,,,,,
1734258719.170950,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,80,192.168.1.157,192.168.1.1,17.0,1034.0,53.0
1734258722.040563,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734258777.041116,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,60,,,,,
1734258777.041367,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,80,192.168.1.157,192.168.1.1,17.0,1032.0,53.0
1734258778.109042,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,60,,,,,
1734258778.109279,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,80,192.168.1.157,192.168.1.1,17.0,1028.0,53.0
1734258779.177056,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,60,,,,,
1734258779.177285,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,80,192.168.1.157,192.168.1.1,17.0,1024.0,53.0
1734258808.871571,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,317,0.0.0.0,255.255.255.255,17.0,68.0,67.0
1734258809.006167,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,329,0.0.0.0,255.255.255.255,17.0,68.0,67.0
1734258837.248420,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,60,,,,,
1734258837.249010,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,80,192.168.1.157,192.168.1.1,17.0,1031.0,53.0
1734258837.310856,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,60,,,,,
1734258837.311112,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258837.367642,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258837.369659,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,113,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258837.627570,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258838.427727,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,97,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258838.485192,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,88,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258838.543169,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,86,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258838.764308,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,99,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258839.181611,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258842.280298,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734258853.764652,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258854.023034,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258868.764662,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258869.024548,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258883.764757,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258884.024271,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258888.840552,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734258898.764834,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258899.022576,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258913.764967,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258914.025001,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258928.765037,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258929.022672,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258933.880512,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734258941.955855,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,99,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258942.351898,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258956.957250,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258957.216583,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258971.957257,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258972.215587,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734258977.080520,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
